scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_kin_care_fraction
kin_biased_rearing,0,1,0.09670188893933741,0.1203125002078218,0.02361061126848439,320,22,153,1.0,66.23190858652434,0.33680250009231605,0.9459005095118928
kin_biased_rearing,1,1,0.08471038229233602,0.12207409805211111,0.037363715759775096,319,31,138,1.0,81.61125375753979,0.3317022971514434,0.9471634243541148
kin_biased_rearing,2,1,0.08357711661257428,0.10895807283003638,0.0253809562174621,320,25,147,1.0,54.121773156534125,0.3462358388903275,0.9834921826678976
kin_biased_rearing,3,1,0.08812181536012331,0.1193935862277504,0.031271770867627086,320,16,164,1.0,33.76919371680455,0.3956983298183222,0.9478770899884639
kin_biased_rearing,4,1,0.09453902857182264,0.11659295832590226,0.022053929754079618,320,28,156,1.0,74.62895812314558,0.30045751449743346,0.9195986195594343
no_relatedness_bias,0,0,0.09670188893933741,0.09968544302932396,0.0029835540899865454,320,18,134,1.0,76.38998367590933,0.16331014370497549,0.6533270909408689
no_relatedness_bias,1,0,0.08471038229233602,0.08428846671694801,-0.00042191557538800994,320,20,156,1.0,63.83456325967801,0.15225728122924834,0.5528284339295946
no_relatedness_bias,2,0,0.08357711661257428,0.08374473949451762,0.00016762288194334396,320,19,144,1.0,58.48728339916427,0.15818412870136409,0.5809523516108386
no_relatedness_bias,3,0,0.08812181536012331,0.10669124766744313,0.01856943230731982,320,20,140,1.0,65.96291676804708,0.12751490044195316,0.3870770757946191
no_relatedness_bias,4,0,0.09453902857182264,0.10377726642282614,0.0092382378510035,287,16,133,1.0,39.72397587842006,0.16672292232052563,0.6682741528322523
shuffled_relatedness,0,0,0.09670188893933741,0.09394345584462556,-0.002758433094711854,164,16,60,0.9,23.4680298969055,0.46938139328806716,0.9752532391230619
shuffled_relatedness,1,0,0.08471038229233602,0.1020502814397614,0.017339899147425383,208,15,82,1.0,34.809306977422814,0.39467486283881636,0.9386871743099147
shuffled_relatedness,2,0,0.08357711661257428,0.08973965453494848,0.0061625379223742005,179,9,83,0.9,28.60752162686076,0.3664969120398907,0.9450876722170368
shuffled_relatedness,3,0,0.08812181536012331,0.1040887575285396,0.015966942168416293,186,17,74,1.0,28.53558249695894,0.36510126326969405,0.9023686928082452
shuffled_relatedness,4,0,0.09453902857182264,0.08901839265162687,-0.005520635920195777,131,11,57,1.0,21.610550976539997,0.4669126225156661,0.9593052675708174
no_rearing_dependency,0,0,0.09670188893933741,0.15452246108075685,0.05782057214141943,52,2,28,1.0,0.0,nan,nan
no_rearing_dependency,1,0,0.08471038229233602,0.11599681196626362,0.0312864296739276,59,6,24,1.0,0.0,nan,nan
no_rearing_dependency,2,0,0.08357711661257428,0.07586868478815069,-0.007708431824423587,29,1,16,1.0,0.0,nan,nan
no_rearing_dependency,3,0,0.08812181536012331,0.05419566187988758,-0.033926153480235734,19,1,8,1.0,0.0,nan,nan
no_rearing_dependency,4,0,0.09453902857182264,0.07987901354118124,-0.014660015030641405,69,5,26,1.0,0.0,nan,nan
cost_too_high,0,0,0.09670188893933741,nan,nan,0,0,0,nan,0.0,nan,nan
cost_too_high,1,0,0.08471038229233602,nan,nan,0,0,0,nan,0.0,nan,nan
cost_too_high,2,0,0.08357711661257428,nan,nan,0,0,0,nan,0.0,nan,nan
cost_too_high,3,0,0.08812181536012331,0.09352287707760293,0.005401061717479616,3,0,0,nan,0.0,nan,nan
cost_too_high,4,0,0.09453902857182264,nan,nan,0,0,0,nan,0.0,nan,nan
high_juvenile_dispersal,0,0,0.09679389192576301,0.09299451729974625,-0.0037993746260167605,320,27,144,0.9565217391304348,41.095180710644456,0.10609366271296966,0.18714990277388074
high_juvenile_dispersal,1,0,0.09371923690296163,0.0994357140139664,0.005716477111004772,319,22,143,1.0,40.69230326673543,0.0949711044648177,0.13006242385197814
high_juvenile_dispersal,2,0,0.09014160781809602,0.09925882541980517,0.009117217601709152,320,30,153,1.0,62.0261442085996,0.11081324365384038,0.19751897200045093
high_juvenile_dispersal,3,0,0.09369714237060336,0.09792994028841075,0.004232797917807382,312,22,142,1.0,44.39845164091249,0.10788131595999347,0.194805687095352
high_juvenile_dispersal,4,0,0.09244624916223879,0.10069748863811057,0.00825123947587178,320,33,130,1.0,51.03244924309113,0.10765389688954664,0.19932947153141775
