scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_kin_care_fraction,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
kin_biased_rearing,0,1,0.09670188893933741,0.1203483551178783,0.02364646617854088,320,32,141,1.0,66.55951850928244,0.17515948344347376,0.537031550968365,0.0453125,0.6,49
kin_biased_rearing,1,1,0.08471038229233602,0.10633198559251782,0.0216216033001818,320,25,166,1.0,76.81694187158278,0.16534246670264685,0.4902557955244392,0.0615234375,0.375,71
kin_biased_rearing,2,0,0.08357711661257428,0.0916497009402708,0.00807258432769653,320,19,162,1.0,39.8077291231338,0.16561929604080866,0.47421934670277266,0.076171875,0.5,37
kin_biased_rearing,3,1,0.08812181536012331,0.11529193397452069,0.027170118614397373,320,26,158,1.0,68.11323632638772,0.1834892191342653,0.6174028793907205,0.083984375,0.25,74
kin_biased_rearing,4,0,0.09453902857182264,0.10040218707601359,0.005863158504190946,320,22,139,1.0,54.755344251718164,0.17858099175221878,0.6037279190981522,0.06770833333333333,0.0,44
no_relatedness_bias,0,0,0.09670188893933741,0.09038503853773526,-0.006316850401602153,304,20,129,1.0,64.9340837364271,0.10422987095798708,0.2088966263645617,0.05859375,0.5,26
no_relatedness_bias,1,0,0.08471038229233602,0.09460767847035266,0.009897296178016643,316,22,131,1.0,69.68347782662262,0.09448538978037029,0.1845952911550908,0.057291666666666664,0.3333333333333333,65
no_relatedness_bias,2,0,0.08357711661257428,0.09446496312992073,0.01088784651734645,320,35,134,1.0,66.9394120425024,0.08931000452458923,0.16859119745549422,0.052455357142857144,0.14285714285714285,44
no_relatedness_bias,3,0,0.08812181536012331,0.0939787958095476,0.005856980449424287,320,29,159,1.0,68.93192390419314,0.10164754552012319,0.22576083540257166,0.053385416666666664,0.5,69
no_relatedness_bias,4,0,0.09453902857182264,0.09038906880600077,-0.004149959765821873,320,14,153,1.0,68.8908577693215,0.0999477730894671,0.19659796975296673,0.072265625,0.5,126
shuffled_relatedness,0,0,0.09670188893933741,0.10267692632289256,0.0059750373835551485,319,29,139,1.0,61.248986668402665,0.13626366328875372,0.35062758429420754,0.05078125,0.5,61
shuffled_relatedness,1,0,0.08471038229233602,0.09258651413344651,0.007876131841110495,320,23,147,1.0,54.18994110628565,0.15596933029785287,0.517549402269797,0.0546875,0.2,62
shuffled_relatedness,2,0,0.08357711661257428,0.08817285218052102,0.004595735567946749,320,20,153,1.0,56.56501185541369,0.10483677515273034,0.24590685682531147,0.0546875,1.0,27
shuffled_relatedness,3,1,0.08812181536012331,0.11228301362086954,0.024161198260746225,320,27,148,1.0,69.15140876698547,0.14968332847550989,0.48704596799606686,0.06510416666666667,0.6666666666666666,67
shuffled_relatedness,4,0,0.09453902857182264,0.10471922970783251,0.01018020113600987,320,33,148,0.9583333333333334,62.27953540467493,0.16040603292969563,0.547870522590705,0.0640625,0.4,93
no_rearing_dependency,0,0,0.09670188893933741,0.08635581107654809,-0.010346077862789321,247,24,122,1.0,0.0,nan,nan,0.08072916666666667,0.5,300
no_rearing_dependency,1,0,0.08471038229233602,0.0790334105502738,-0.00567697174206222,320,17,165,1.0,0.0,nan,nan,0.0703125,0.0,50
no_rearing_dependency,2,0,0.08357711661257428,0.07528901313516886,-0.008288103477405412,102,7,47,1.0,0.0,nan,nan,0.0859375,0.5,58
no_rearing_dependency,3,0,0.08812181536012331,0.0792296268896152,-0.008892188470508114,248,22,137,1.0,0.0,nan,nan,0.07291666666666667,0.6666666666666666,147
no_rearing_dependency,4,0,0.09453902857182264,0.09471691153393612,0.00017788296211347643,302,27,161,1.0,0.0,nan,nan,0.08203125,0.5,468
cost_too_high,0,0,0.09670188893933741,0.05820275858407043,-0.03849913035526698,8,0,1,nan,0.0,nan,nan,nan,nan,0
cost_too_high,1,0,0.08471038229233602,0.08550806653134713,0.0007976842390111094,1,0,0,nan,0.0,nan,nan,nan,nan,0
cost_too_high,2,0,0.08357711661257428,0.107898680502084,0.02432156388950972,4,0,0,nan,0.0,nan,nan,nan,nan,0
cost_too_high,3,0,0.08812181536012331,0.05197046728270538,-0.03615134807741793,5,0,0,nan,0.0,nan,nan,nan,nan,0
cost_too_high,4,0,0.09453902857182264,0.03287639176038622,-0.061662636811436425,1,0,0,nan,0.0,nan,nan,nan,nan,0
high_juvenile_dispersal,0,0,0.09679389192576301,0.10041999399640592,0.0036261020706429004,319,25,144,1.0,51.42276582268778,0.09372237672478641,0.15879033062338302,0.053125,0.4,43
high_juvenile_dispersal,1,0,0.09371923690296163,0.08880119897701852,-0.004918037925943114,320,27,149,1.0,42.532136436369065,0.10511569674060225,0.18891829631851204,0.05078125,0.0,46
high_juvenile_dispersal,2,0,0.09014160781809602,0.10130293838724258,0.01116133056914656,320,21,158,1.0,47.89875982672466,0.07748789673915062,0.10226968255818018,0.0421875,0.4,57
high_juvenile_dispersal,3,0,0.09369714237060336,0.09324701104050367,-0.0004501313300996901,320,25,140,1.0,52.46887940030593,0.08742737547086663,0.15252947207906764,0.048828125,0.25,38
high_juvenile_dispersal,4,0,0.09244624916223879,0.09615302201788327,0.003706772855644483,320,27,145,1.0,43.53456708837532,0.09077821956561236,0.13613916285567196,0.049107142857142856,0.42857142857142855,68
