scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,initial_helping_invasion_frequency,final_helping_invasion_frequency,helping_invasion_frequency_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_mean_available_care_relatedness,latest_care_assortment_gain,latest_kin_care_fraction,latest_expected_juvenile_survival_benefit,latest_benefit_per_care_unit,latest_relatedness_weighted_survival_benefit,latest_total_helper_energy_cost,latest_expected_helper_reproduction_cost,latest_hamilton_margin_proxy,latest_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,lifetime_offspring_difference_rare_minus_resident,lifetime_offspring_ratio_rare_to_resident,lifetime_offspring_rare_helper_count,lifetime_offspring_resident_count,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
kin_biased_rearing,0,1,0.04789433937321305,0.10754594462644955,0.0596516052532365,0.0703125,0.63125,0.5609375,320,15,146,1.0,80.90811326313069,0.14127050148884462,0.12157886816817866,0.019691633320665966,0.3976780754661943,7.800000000000002,0.09640565927711972,1.0887284576450755,2.4272433978939247,0.0,1.0887284576450755,0.0,1.9546485260770976,2.850111856823266,-0.8954633307461686,0.6858146712374118,441,447,0.08072916666666667,0.6666666666666666,108
kin_biased_rearing,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,1.0,0.0,0.18012795142329882,0.18012795142329882,0.0,0.5590328486382768,0.0,0.75,0.0,0.0,0.0,0.0,0.0,3.5,5.715686274509804,-2.215686274509804,0.6123499142367067,6,102,0.0,1.0,0
kin_biased_rearing,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.3844442602728783,0.3844442602728783,0.0,1.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,nan,5.934065934065934,nan,nan,0,91,0.0,1.0,0
kin_biased_rearing,3,1,0.060736775988528904,0.14682106306071252,0.08608428707218362,0.09375,0.9375,0.84375,320,20,139,1.0,104.95903880240445,0.16161790180054733,0.13482885244218148,0.026789049358365846,0.5639274832893051,11.050000000000002,0.10527916533994483,1.8307399264104964,3.1487711640721288,0.0,1.8307399264104964,0.0,1.8989071038251366,3.9583333333333335,-2.0594262295081966,0.4797238999137187,732,192,0.0703125,0.3333333333333333,102
kin_biased_rearing,4,0,0.02839130830642853,nan,nan,0.0234375,nan,nan,0,0,0,1.0,0.0,0.2085390749011648,0.2085390749011648,0.0,0.9581396553763205,0.0,0.07198557364241592,0.0,0.0,0.0,0.0,0.0,1.9230769230769231,4.512820512820513,-2.5897435897435894,0.42613636363636365,26,156,0.09375,0.0,0
no_relatedness_bias,0,0,0.04789433937321305,0.04309732662894701,-0.004797012744266041,0.0703125,0.0125,-0.0578125,320,15,160,1.0,31.41430756672318,0.098251854264569,0.098251854264569,0.0,0.18526365536218067,6.500000000000001,0.2069120889007084,0.6113687130740576,0.942429227001692,0.0,0.6113687130740576,0.0,2.6666666666666665,2.4135593220338984,0.25310734463276807,1.1048689138576777,42,885,0.0640625,0.8,90
no_relatedness_bias,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,0.0,0.0,0.25232199999513605,0.25232199999513605,0.0,0.8397826944693612,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,7.0,4.7371428571428575,2.2628571428571425,1.4776839565741857,1,175,0.078125,1.0,0
no_relatedness_bias,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,1.0,0.0,0.24988036270587075,0.24988036270587075,0.0,0.9291633755022113,0.0,0.4221343402673528,0.0,0.0,0.0,0.0,0.0,nan,4.711656441717792,nan,nan,0,163,0.09375,0.0,0
no_relatedness_bias,3,0,0.060736775988528904,0.06593439327094487,0.005197617282415967,0.09375,0.06666666666666667,-0.027083333333333334,315,17,146,1.0,49.418024888414145,0.09870442393143232,0.09870442393143232,0.0,0.18178450845336924,8.450000000000001,0.1709902412951569,0.8152057390884452,1.4825407466524232,0.0,0.8152057390884452,0.0,2.361290322580645,2.3309002433090025,0.030390079271642723,1.013037915011112,155,822,0.068359375,0.5,45
no_relatedness_bias,4,0,0.02839130830642853,0.042510008564057566,0.014118700257629038,0.0234375,0.021875,-0.0015625000000000014,320,21,139,1.0,32.20991697149512,0.13199283010644558,0.13199283010644558,0.0,0.5356021897746372,11.700000000000003,0.36324216577006574,1.5443161122454028,0.9662975091448632,0.0,1.5443161122454028,0.0,2.130434782608696,2.6432664756446993,-0.5128316930360035,0.805985625073642,23,698,0.08854166666666667,0.0,150
shuffled_relatedness,0,1,0.04789433937321305,0.14754947791444112,0.09965513854122807,0.0703125,0.9875,0.9171875,320,14,136,1.0,113.1186924949846,0.1433166024302568,0.1424545009123374,0.0008621015179193781,0.6298529622174167,8.450000000000001,0.07470029765747711,1.2142027118732008,3.3935607748495475,0.0,1.2142027118732008,0.0,1.9715370018975331,4.449367088607595,-2.4778300867100613,0.44310504452320093,527,158,0.09375,0.0,64
shuffled_relatedness,1,0,0.028615349416912364,0.07289472642130033,0.04427937700438797,0.03125,0.0,-0.03125,3,0,0,1.0,0.0,0.3496286156162974,0.3496286156162974,0.0,1.0,0.0,0.514981022217137,0.0,0.0,0.0,0.0,0.0,2.4642857142857144,4.725352112676056,-2.2610663983903416,0.5215030870768577,28,142,0.09375,1.0,0
shuffled_relatedness,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.2564410795431909,0.2564410795431909,0.0,0.7188251708132058,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,nan,6.871794871794871,nan,nan,0,78,0.0,1.0,0
