kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.05,10.0,0.8,0.1,0.01,0,0.31937007900467923,0.037695384105945556,0.11987586841713165,0.31843644178372366
0.5,0.05,10.0,0.8,0.1,0.01,1,0.3406603779207645,0.03721822752527594,0.11862336521493885,0.3398406728443669
0.5,0.05,10.0,0.8,0.1,0.01,2,0.3043895425245411,0.03823513939819062,0.11757638181640452,0.3081180116490605
0.5,0.05,10.0,0.8,0.1,0.01,3,0.3629501674012021,0.06770258613863789,0.11753118812823783,0.3609801331819861
0.5,0.05,10.0,0.8,0.1,0.01,4,0.38060493816381225,0.03938228149865254,0.12114467164362658,0.38183776931936775
0.5,0.05,10.0,0.8,0.1,0.01,5,0.339454897182714,0.03333909084862859,0.11926604755157912,0.33929228543079426
0.5,0.05,10.0,0.8,0.2,0.01,0,0.27597980777253905,0.04098840193833884,0.11987586841713165,0.2711026271388369
0.5,0.05,10.0,0.8,0.2,0.01,1,0.3810433664871365,0.04959932971637355,0.11862336521493885,0.3798008555752068
0.5,0.05,10.0,0.8,0.2,0.01,2,0.286644305299822,0.05332953571569593,0.11757638181640452,0.2855951867596377
0.5,0.05,10.0,0.8,0.2,0.01,3,0.2547615959691015,0.02964675535352395,0.11753118812823783,0.2546483424864051
0.5,0.05,10.0,0.8,0.2,0.01,4,0.16236105390643918,0.08557497096761707,0.12114467164362658,0.30316326749773786
0.5,0.05,10.0,0.8,0.2,0.01,5,0.2657655161652778,0.044127813240970044,0.11926604755157912,0.26391565447708243
0.5,0.05,10.0,0.8,0.3,0.01,0,0.20084645621397787,0.04941949933826883,0.11987586841713165,0.23211890996124498
0.5,0.05,10.0,0.8,0.3,0.01,1,0.26487150130748216,0.02837323993282103,0.11862336521493885,0.267006744941075
0.5,0.05,10.0,0.8,0.3,0.01,2,0.2119921591048881,0.060334105341112075,0.11757638181640452,0.22804862210441643
0.5,0.05,10.0,0.8,0.3,0.01,3,0.22373054254226066,0.06474344351458601,0.11753118812823783,0.2226259822236398
0.5,0.05,10.0,0.8,0.3,0.01,4,0.19271635545860555,0.04077376457145468,0.12114467164362658,0.32657796981629744
0.5,0.05,10.0,0.8,0.3,0.01,5,0.23615393108183116,0.06837544853794905,0.11926604755157912,0.24056118978586868
0.5,0.05,10.0,1.0,0.1,0.01,0,0.463696744386067,0.042791299446036116,0.11987586841713165,0.4630408198214007
0.5,0.05,10.0,1.0,0.1,0.01,1,0.38844631106841315,0.057137564629233924,0.11862336521493885,0.3874326333342691
0.5,0.05,10.0,1.0,0.1,0.01,2,0.3266497993459263,0.04073104881241828,0.11757638181640452,0.3258473197603162
0.5,0.05,10.0,1.0,0.1,0.01,3,0.3986424135741573,0.043801949680665364,0.11753118812823783,0.39694347154942283
0.5,0.05,10.0,1.0,0.1,0.01,4,0.3975396910167235,0.04301915964450467,0.12114467164362658,0.397867397581557
0.5,0.05,10.0,1.0,0.1,0.01,5,0.4301067376793919,0.054284976831864264,0.11926604755157912,0.427385147073446
0.5,0.05,10.0,1.0,0.2,0.01,0,0.2893750331304676,0.0411299338812334,0.11987586841713165,0.29530271076007775
0.5,0.05,10.0,1.0,0.2,0.01,1,0.32723910099789816,0.040796413279736266,0.11862336521493885,0.32589492428924816
0.5,0.05,10.0,1.0,0.2,0.01,2,0.2835495959639887,0.04243603178049098,0.11757638181640452,0.2833598824198675
0.5,0.05,10.0,1.0,0.2,0.01,3,0.34046896956528855,0.028279203444494982,0.11753118812823783,0.3407975383330558
0.5,0.05,10.0,1.0,0.2,0.01,4,0.35903786534454274,0.04007377629010012,0.12114467164362658,0.36118681938452646
0.5,0.05,10.0,1.0,0.2,0.01,5,0.3009579915754066,0.05909513510924704,0.11926604755157912,0.2979815506539309
0.5,0.05,10.0,1.0,0.3,0.01,0,0.2716928964684029,0.03347986824529224,0.11987586841713165,0.27435010588539854
0.5,0.05,10.0,1.0,0.3,0.01,1,0.29256761779169566,0.0552414032255542,0.11862336521493885,0.2937978607916362
0.5,0.05,10.0,1.0,0.3,0.01,2,0.2192974609406442,0.046479992041488775,0.11757638181640452,0.25904031318336623
0.5,0.05,10.0,1.0,0.3,0.01,3,0.24960746013162727,0.08119032586397888,0.11753118812823783,0.2750740144632895
0.5,0.05,10.0,1.0,0.3,0.01,4,0.3021363139109297,0.06454517632646248,0.12114467164362658,0.3507468083241563
0.5,0.05,10.0,1.0,0.3,0.01,5,0.22839159230313422,0.03063839250365845,0.11926604755157912,0.22950782066143147
0.5,0.05,10.0,1.2,0.1,0.01,0,0.41687662304246165,0.03150296003104608,0.11987586841713165,0.41603373370061864
0.5,0.05,10.0,1.2,0.1,0.01,1,0.4347808944702473,0.03104344185372269,0.11862336521493885,0.43358256502074816
0.5,0.05,10.0,1.2,0.1,0.01,2,0.28960725047571345,0.02572997613497242,0.11757638181640452,0.2901111868354406
0.5,0.05,10.0,1.2,0.1,0.01,3,0.3833310389894279,0.05450327639926795,0.11753118812823783,0.38077378456782923
0.5,0.05,10.0,1.2,0.1,0.01,4,0.4320077554628243,0.049740659197051625,0.12114467164362658,0.4294059713294617
0.5,0.05,10.0,1.2,0.1,0.01,5,0.36147696246011307,0.036575891214995854,0.11926604755157912,0.3596103186561752
