kin_bias_ratio,benefit_cost_ratio,kin_weight_same_lineage,kin_weight_other_lineage,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
1.0,0.5,1.0,1.0,0.1,0.2,0.02,0,0.006213837027072016,0.013476942520197745,0.003621780856834494,0.11987586841713165
1.0,1.0,1.0,1.0,0.2,0.2,0.02,0,0.008240431145093973,0.014503563122900699,0.0037640478766071714,0.11987586841713165
1.0,2.0,1.0,1.0,0.4,0.2,0.02,0,0.007001797089123725,0.015256697668458096,0.004114536304668543,0.11987586841713165
1.0,4.0,1.0,1.0,0.8,0.2,0.02,0,0.02024626684632311,0.024557732099060432,0.013646929882579848,0.11987586841713165
1.0,6.0,1.0,1.0,1.2000000000000002,0.2,0.02,0,0.9563358192732956,0.04002579238995342,0.11490606012158588,0.9569293880671389
2.0,0.5,2.0,1.0,0.1,0.2,0.02,0,0.006369002887061594,0.014304288773667694,0.0040539386697890445,0.11987586841713165
2.0,1.0,2.0,1.0,0.2,0.2,0.02,0,0.008519370655948433,0.014973590297789403,0.004371901260292525,0.11987586841713165
2.0,2.0,2.0,1.0,0.4,0.2,0.02,0,0.009403265378847867,0.018913808594108118,0.007010149229571343,0.12411672024858571
2.0,4.0,2.0,1.0,0.8,0.2,0.02,0,0.018163187590302186,0.024799251334059996,0.01069444034471316,0.2666889494833028
2.0,6.0,2.0,1.0,1.2000000000000002,0.2,0.02,0,0.9731993204723415,0.02758828609204109,0.11873634498630826,0.9794416441659118
4.0,0.5,4.0,1.0,0.1,0.2,0.02,0,0.006213837027072016,0.013476942520197745,0.003921806029162763,0.11987586841713165
4.0,1.0,4.0,1.0,0.2,0.2,0.02,0,0.008240431145093973,0.014503563122900699,0.004387505290382905,0.11987586841713165
4.0,2.0,4.0,1.0,0.4,0.2,0.02,0,0.012851824679406529,0.021949984419945688,0.008920763144026097,0.18586628281516696
4.0,4.0,4.0,1.0,0.8,0.2,0.02,0,0.016646979237130786,0.026872366191716335,0.014585276373601928,0.3689909610945266
4.0,6.0,4.0,1.0,1.2000000000000002,0.2,0.02,0,0.9694380848520561,0.03558771390326833,0.11987586841713165,0.9872268619232807
8.0,0.5,8.0,1.0,0.1,0.2,0.02,0,0.006213837027072016,0.013476942520197745,0.004452021215027388,0.11987586841713165
8.0,1.0,8.0,1.0,0.2,0.2,0.02,0,0.008667914075045404,0.014888645207458924,0.006012200893808384,0.11987586841713165
8.0,2.0,8.0,1.0,0.4,0.2,0.02,0,0.00947315976355075,0.016424380344415766,0.006039780352056496,0.267743962451777
8.0,4.0,8.0,1.0,0.8,0.2,0.02,0,0.017771939829212022,0.024347870388846504,0.01588140685317194,0.5310194670042149
8.0,6.0,8.0,1.0,1.2000000000000002,0.2,0.02,0,0.9761325248097066,0.04031956068490171,0.11987586841713165,0.9909136589118268
16.0,0.5,16.0,1.0,0.1,0.2,0.02,0,0.007413839672464451,0.015064206537556583,0.0046031968315891885,0.11987586841713165
16.0,1.0,16.0,1.0,0.2,0.2,0.02,0,0.009615263579903227,0.01795044198806029,0.005054221551128946,0.1222925777440106
16.0,2.0,16.0,1.0,0.4,0.2,0.02,0,0.06488922891344018,0.05407080988886347,0.03343827789117468,0.28325076938590527
16.0,4.0,16.0,1.0,0.8,0.2,0.02,0,0.9717854789452302,0.040238771270781265,0.11987586841713165,0.9731193242053554
16.0,6.0,16.0,1.0,1.2000000000000002,0.2,0.02,0,0.9512559994638694,0.04521196496478147,0.11987586841713165,0.9623963681141405
