kin_bias_ratio,benefit_cost_ratio,n_replicates,mean_final_trait,std_final_trait_across_replicates,min_final_trait_across_replicates,max_final_trait_across_replicates
8.0,3.5,10,0.1604012697930603,0.24750876948783138,0.010497527066823019,0.8168278134200849
8.0,3.75,10,0.2131429455893806,0.3542862134524623,0.01266046108132039,0.9380037195790492
8.0,4.0,10,0.4229713306395729,0.4223300993508641,0.017771939829212022,0.9758352625218047
8.0,4.25,10,0.6709988032039459,0.37704743706518234,0.024693056693898468,0.9838452149766677
8.0,4.5,10,0.6872984761112891,0.24722704798403383,0.2528655645177571,0.9795308615195759
8.0,4.75,10,0.6929766437905964,0.27892395643680795,0.18451762875273886,0.9826793537009484
10.0,3.5,10,0.306922177610052,0.38521861887567604,0.008373831207101634,0.9802916518688072
10.0,3.75,10,0.4895910996753073,0.4471885514736972,0.011441106181981107,0.9641103509950271
10.0,4.0,10,0.6749999476827923,0.42333995561181287,0.02412035473985898,0.9855139761081438
10.0,4.25,10,0.33774274049138436,0.42317453012334016,0.016182807769687897,0.9790242808104619
10.0,4.5,10,0.5551765151221255,0.4296511109290897,0.022070043198865748,0.9774066804022615
10.0,4.75,10,0.7430410078331334,0.16722602299802347,0.4729504235645692,0.9771350199999751
12.0,3.5,10,0.43728598629522814,0.42375325561781385,0.010539345605491678,0.9505270969570228
12.0,3.75,10,0.5352286722444132,0.42027251595110143,0.01004300326221491,0.9779148230221669
12.0,4.0,10,0.46573118590028306,0.4524545808300421,0.011957405133877228,0.9784804328038427
12.0,4.25,10,0.42511829860542616,0.38380085472303427,0.012826158332728365,0.9747294849966589
12.0,4.5,10,0.6932985805100436,0.3577905649205186,0.02370331942578016,0.9738452614312423
12.0,4.75,10,0.7643278663277064,0.1735880318339482,0.5133178934393693,0.9730741922802734
14.0,3.5,10,0.4141975678104431,0.4040946565089792,0.012778379457632473,0.9762706414887634
14.0,3.75,10,0.49098164084855966,0.4738195027017445,0.015185363440273011,0.975919511321464
14.0,4.0,10,0.5767389016753237,0.4522773740455195,0.01701677162430793,0.981248403262822
14.0,4.25,10,0.7797191533679958,0.3707967049694175,0.018201545600879873,0.9736842220124132
14.0,4.5,10,0.7056608805283977,0.3630439039572447,0.039604170083263474,0.97235792615994
14.0,4.75,10,0.8969594876160011,0.18783602426233906,0.3365683640260461,0.9763037357610275
16.0,3.5,10,0.7572886281214997,0.3705442003510439,0.016333138655497917,0.9748337888819462
16.0,3.75,10,0.5771076400705761,0.45130544470880074,0.013672541077330489,0.9760617016204429
16.0,4.0,10,0.6105046941314005,0.4444993543045468,0.018224634022853715,0.9773372067247331
16.0,4.25,10,0.4317161872531825,0.41190703675142976,0.017603969907868815,0.969722990065866
16.0,4.5,10,0.6740385776850804,0.30024162233530455,0.23839030567961084,0.9745686949353263
16.0,4.75,10,0.7579499042451909,0.1816684726481887,0.38535566133185684,0.9648751717098671
