scenario,replacement,seed,simulation_steps,burn_in_fraction,partner_persistence_probability,selection_temperature,rounds_per_pair_per_step,memory_enabled,mean_cooperation_after_burn_in,mean_ALLD_after_burn_in,mean_reciprocal_after_burn_in,final_mean_cooperation_rate,final_ALLD_frequency,final_reciprocal_strategy_frequency
sync_current_selection,synchronous_global,0,5000,0.2,0.9,0.18,3,1,0.03867125,0.9573825,0.038105,0.015,0.975,0.02
sync_current_selection,synchronous_global,1,5000,0.2,0.9,0.18,3,1,0.015528750000000001,0.98045,0.01492,0.005,0.995,0.0
sync_current_selection,synchronous_global,2,5000,0.2,0.9,0.18,3,1,0.015795416666666666,0.98017875,0.01690875,0.01,0.985,0.01
sync_current_selection,synchronous_global,3,5000,0.2,0.9,0.18,3,1,0.013128333333333334,0.98305125,0.01306875,0.013333333333333334,0.985,0.005
sync_current_selection,synchronous_global,4,5000,0.2,0.9,0.18,3,1,0.0378625,0.958085,0.030955,0.005,0.99,0.01
sync_weak_selection,synchronous_global,0,5000,0.2,0.9,1.0,3,1,0.26423083333333336,0.72328625,0.258535,0.0033333333333333335,0.99,0.01
sync_weak_selection,synchronous_global,1,5000,0.2,0.9,1.0,3,1,0.17752958333333332,0.80776125,0.17957375,0.925,0.045,0.945
sync_weak_selection,synchronous_global,2,5000,0.2,0.9,1.0,3,1,0.21079666666666666,0.77779625,0.20923624999999998,0.985,0.01,0.905
sync_weak_selection,synchronous_global,3,5000,0.2,0.9,1.0,3,1,0.2453275,0.7389475,0.24489125,0.0016666666666666668,0.995,0.005
sync_weak_selection,synchronous_global,4,5000,0.2,0.9,1.0,3,1,0.23252791666666667,0.7543625,0.2310175,0.005,0.995,0.0
async_weak_selection,one_birth_one_death,0,5000,0.2,0.9,1.0,3,1,0.009555416666666667,0.97771875,0.0168075,0.0,1.0,0.0
async_weak_selection,one_birth_one_death,1,5000,0.2,0.9,1.0,3,1,0.80169625,0.14364,0.82917125,1.0,0.0,0.945
async_weak_selection,one_birth_one_death,2,5000,0.2,0.9,1.0,3,1,0.6997583333333334,0.24357125,0.71946875,0.8883333333333333,0.065,0.825
async_weak_selection,one_birth_one_death,3,5000,0.2,0.9,1.0,3,1,0.9853783333333334,0.00818375,0.96619875,1.0,0.0,0.975
async_weak_selection,one_birth_one_death,4,5000,0.2,0.9,1.0,3,1,0.057944166666666665,0.8851924999999999,0.1073625,0.26666666666666666,0.555,0.445
async_weak_selection_no_memory,one_birth_one_death,0,5000,0.2,0.9,1.0,3,0,0.01032125,0.9896787499999999,0.0082025,0.0,1.0,0.0
async_weak_selection_no_memory,one_birth_one_death,1,5000,0.2,0.9,1.0,3,0,0.0102475,0.9897525,0.0087875,0.01,0.99,0.01
async_weak_selection_no_memory,one_birth_one_death,2,5000,0.2,0.9,1.0,3,0,0.01476875,0.98523125,0.01123375,0.01,0.99,0.005
async_weak_selection_no_memory,one_birth_one_death,3,5000,0.2,0.9,1.0,3,0,0.006845,0.993155,0.006145,0.0,1.0,0.0
async_weak_selection_no_memory,one_birth_one_death,4,5000,0.2,0.9,1.0,3,0,0.0084375,0.9915625,0.00710625,0.01,0.99,0.01
async_weak_selection_no_persistence,one_birth_one_death,0,5000,0.2,0.0,1.0,3,1,0.0129525,0.9725975,0.022055,0.02,0.96,0.04
async_weak_selection_no_persistence,one_birth_one_death,1,5000,0.2,0.0,1.0,3,1,0.012725416666666666,0.97631,0.02094625,0.0033333333333333335,0.985,0.015
async_weak_selection_no_persistence,one_birth_one_death,2,5000,0.2,0.0,1.0,3,1,0.021644166666666666,0.9543699999999999,0.0407075,0.028333333333333332,0.94,0.04
async_weak_selection_no_persistence,one_birth_one_death,3,5000,0.2,0.0,1.0,3,1,0.017507083333333333,0.96825875,0.027186250000000002,0.0,0.995,0.005
async_weak_selection_no_persistence,one_birth_one_death,4,5000,0.2,0.0,1.0,3,1,0.3657475,0.50460875,0.4876675,0.7066666666666667,0.205,0.795
async_weak_selection_one_round,one_birth_one_death,0,5000,0.2,0.9,1.0,1,1,0.41101375,0.45404875,0.4171625,0.21,0.645,0.26
async_weak_selection_one_round,one_birth_one_death,1,5000,0.2,0.9,1.0,1,1,0.168155,0.6942425,0.28139,0.205,0.675,0.255
async_weak_selection_one_round,one_birth_one_death,2,5000,0.2,0.9,1.0,1,1,0.04168625,0.87247125,0.12145,0.05,0.88,0.11
async_weak_selection_one_round,one_birth_one_death,3,5000,0.2,0.9,1.0,1,1,0.79192,0.1288575,0.86716125,1.0,0.0,0.98
async_weak_selection_one_round,one_birth_one_death,4,5000,0.2,0.9,1.0,1,1,0.78088375,0.13701125,0.8444325,0.91,0.05,0.89
