scenario,seed,simulation_steps,burn_in_fraction,partner_persistence_probability,selection_temperature,rounds_per_pair_per_step,mean_cooperation_after_burn_in,mean_ALLD_after_burn_in,mean_reciprocal_after_burn_in,final_mean_cooperation_rate,final_ALLD_frequency,final_reciprocal_strategy_frequency
coop_majority,0,5000,0.2,0.9,1.0,3,0.98429375,0.00926125,0.978865,1.0,0.0,1.0
coop_majority,1,5000,0.2,0.9,1.0,3,0.11597,0.8061024999999999,0.16553125,0.008333333333333333,0.975,0.02
coop_majority,2,5000,0.2,0.9,1.0,3,0.99573125,0.00229625,0.9914412499999999,1.0,0.0,1.0
coop_majority,3,5000,0.2,0.9,1.0,3,0.9983254166666666,0.00094375,0.98748,1.0,0.0,1.0
coop_majority,4,5000,0.2,0.9,1.0,3,0.3115175,0.586065,0.35885625,0.635,0.235,0.765
alld_majority,0,5000,0.2,0.9,1.0,3,0.009555416666666667,0.97771875,0.0168075,0.0,1.0,0.0
alld_majority,1,5000,0.2,0.9,1.0,3,0.80169625,0.14364,0.82917125,1.0,0.0,0.945
alld_majority,2,5000,0.2,0.9,1.0,3,0.6997583333333334,0.24357125,0.71946875,0.8883333333333333,0.065,0.825
alld_majority,3,5000,0.2,0.9,1.0,3,0.9853783333333334,0.00818375,0.96619875,1.0,0.0,0.975
alld_majority,4,5000,0.2,0.9,1.0,3,0.057944166666666665,0.8851924999999999,0.1073625,0.26666666666666666,0.555,0.445
rare_invaders,0,5000,0.2,0.9,1.0,3,0.9063383333333334,0.05953875,0.92874875,1.0,0.0,0.995
rare_invaders,1,5000,0.2,0.9,1.0,3,0.9539808333333333,0.026505,0.96514625,0.99,0.005,0.995
rare_invaders,2,5000,0.2,0.9,1.0,3,0.35068,0.59128875,0.396415,0.9216666666666666,0.045,0.91
rare_invaders,3,5000,0.2,0.9,1.0,3,0.2795883333333333,0.65431625,0.3437575,0.9683333333333334,0.02,0.98
rare_invaders,4,5000,0.2,0.9,1.0,3,0.012219583333333334,0.9607424999999999,0.03407625,0.006666666666666667,0.99,0.01
