scenario,seed,simulation_steps,burn_in_fraction,partner_persistence_probability,selection_temperature,rounds_per_pair_per_step,mean_cooperation_after_burn_in,mean_ALLD_after_burn_in,mean_reciprocal_after_burn_in,final_mean_cooperation_rate,final_ALLD_frequency,final_reciprocal_strategy_frequency,final_threshold_success
coop_majority_no_allc,0,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,1,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,2,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,3,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,4,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,5,5000,0.2,0.9,1.0,3,0.9999720833333333,1.7500000000000002e-05,0.9999825,1.0,0.0,1.0,1
coop_majority_no_allc,6,5000,0.2,0.9,1.0,3,0.9990970833333334,0.0005425,0.9994575,1.0,0.0,1.0,1
coop_majority_no_allc,7,5000,0.2,0.9,1.0,3,0.9995870833333333,0.00023875,0.99976125,1.0,0.0,1.0,1
coop_majority_no_allc,8,5000,0.2,0.9,1.0,3,0.99999625,2.5e-06,0.9999975,1.0,0.0,1.0,1
coop_majority_no_allc,9,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,10,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,11,5000,0.2,0.9,1.0,3,0.9960591666666667,0.0022937499999999998,0.99770625,1.0,0.0,1.0,1
coop_majority_no_allc,12,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,13,5000,0.2,0.9,1.0,3,0.9994045833333334,0.00034625,0.99965375,1.0,0.0,1.0,1
coop_majority_no_allc,14,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,15,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,16,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,17,5000,0.2,0.9,1.0,3,0.9980854166666666,0.0011575000000000001,0.9988425,1.0,0.0,1.0,1
coop_majority_no_allc,18,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,19,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,20,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,21,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,22,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,23,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,24,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,25,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,26,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,27,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,28,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,29,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,30,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,31,5000,0.2,0.9,1.0,3,0.9944508333333333,0.003375,0.996625,1.0,0.0,1.0,1
coop_majority_no_allc,32,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,33,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,34,5000,0.2,0.9,1.0,3,0.9990520833333333,0.000545,0.999455,1.0,0.0,1.0,1
coop_majority_no_allc,35,5000,0.2,0.9,1.0,3,0.99966125,0.000195,0.999805,1.0,0.0,1.0,1
coop_majority_no_allc,36,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,37,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,38,5000,0.2,0.9,1.0,3,0.9936679166666667,0.00357,0.99643,1.0,0.0,1.0,1
coop_majority_no_allc,39,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,40,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,41,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,42,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,43,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,44,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,45,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,46,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,47,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,48,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,49,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,50,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,51,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,52,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,53,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,54,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,55,5000,0.2,0.9,1.0,3,0.9980333333333333,0.00119875,0.99880125,1.0,0.0,1.0,1
coop_majority_no_allc,56,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,57,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,58,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,59,5000,0.2,0.9,1.0,3,0.999845,8.625e-05,0.99991375,1.0,0.0,1.0,1
coop_majority_no_allc,60,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,61,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,62,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,63,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,64,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,65,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,66,5000,0.2,0.9,1.0,3,0.9986633333333333,0.0007062500000000001,0.99929375,1.0,0.0,1.0,1
coop_majority_no_allc,67,5000,0.2,0.9,1.0,3,0.9983158333333333,0.00099625,0.99900375,1.0,0.0,1.0,1
coop_majority_no_allc,68,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,69,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,70,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,71,5000,0.2,0.9,1.0,3,0.9982133333333333,0.0009775,0.9990225,1.0,0.0,1.0,1
coop_majority_no_allc,72,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,73,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,74,5000,0.2,0.9,1.0,3,0.9993158333333333,0.00040875,0.99959125,1.0,0.0,1.0,1
coop_majority_no_allc,75,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,76,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,77,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,78,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,79,5000,0.2,0.9,1.0,3,0.99899875,0.00057375,0.99942625,1.0,0.0,1.0,1
coop_majority_no_allc,80,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,81,5000,0.2,0.9,1.0,3,0.9992870833333334,0.00038375000000000003,0.99961625,1.0,0.0,1.0,1
coop_majority_no_allc,82,5000,0.2,0.9,1.0,3,0.9991754166666666,0.00048125,0.99951875,1.0,0.0,1.0,1
coop_majority_no_allc,83,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,84,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,85,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,86,5000,0.2,0.9,1.0,3,0.9951670833333334,0.00289,0.99711,1.0,0.0,1.0,1
coop_majority_no_allc,87,5000,0.2,0.9,1.0,3,0.9918470833333334,0.00463875,0.99536125,1.0,0.0,1.0,1
coop_majority_no_allc,88,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,89,5000,0.2,0.9,1.0,3,0.9990654166666667,0.00055375,0.99944625,1.0,0.0,1.0,1
coop_majority_no_allc,90,5000,0.2,0.9,1.0,3,0.9985845833333333,0.00079125,0.99920875,1.0,0.0,1.0,1
coop_majority_no_allc,91,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,92,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,93,5000,0.2,0.9,1.0,3,0.9982845833333334,0.00096125,0.99903875,1.0,0.0,1.0,1
coop_majority_no_allc,94,5000,0.2,0.9,1.0,3,0.9999875,7.5e-06,0.9999925,1.0,0.0,1.0,1
coop_majority_no_allc,95,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,96,5000,0.2,0.9,1.0,3,0.99770625,0.00142125,0.99857875,1.0,0.0,1.0,1
coop_majority_no_allc,97,5000,0.2,0.9,1.0,3,0.99975875,0.00012875,0.99987125,1.0,0.0,1.0,1
coop_majority_no_allc,98,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_no_allc,99,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_with_allc,0,5000,0.2,0.9,1.0,3,0.95757625,0.02655,0.92788375,1.0,0.0,1.0,1
coop_majority_with_allc,1,5000,0.2,0.9,1.0,3,0.13026625,0.83661625,0.1234475,0.0,1.0,0.0,0
coop_majority_with_allc,2,5000,0.2,0.9,1.0,3,1.0,0.0,0.87342125,1.0,0.0,0.755,1
coop_majority_with_allc,3,5000,0.2,0.9,1.0,3,0.8483120833333333,0.09511125,0.8238,0.5683333333333334,0.31,0.615,0
coop_majority_with_allc,4,5000,0.2,0.9,1.0,3,1.0,0.0,0.97576875,1.0,0.0,1.0,1
coop_majority_with_allc,5,5000,0.2,0.9,1.0,3,0.8496879166666667,0.09523125,0.82465625,0.43666666666666665,0.41,0.54,0
coop_majority_with_allc,6,5000,0.2,0.9,1.0,3,0.9999045833333333,6e-05,0.99994,1.0,0.0,1.0,1
coop_majority_with_allc,7,5000,0.2,0.9,1.0,3,0.13326958333333333,0.831905,0.14234625,0.0,1.0,0.0,0
coop_majority_with_allc,8,5000,0.2,0.9,1.0,3,1.0,0.0,0.9991925,1.0,0.0,1.0,1
coop_majority_with_allc,9,5000,0.2,0.9,1.0,3,0.9919295833333334,0.0047525,0.92801125,1.0,0.0,0.96,1
coop_majority_with_allc,10,5000,0.2,0.9,1.0,3,1.0,0.0,1.0,1.0,0.0,1.0,1
coop_majority_with_allc,11,5000,0.2,0.9,1.0,3,0.46270083333333334,0.445805,0.47660375,0.005,0.97,0.03,0
coop_majority_with_allc,12,5000,0.2,0.9,1.0,3,0.9495258333333333,0.02952375,0.96321375,1.0,0.0,1.0,1
coop_majority_with_allc,13,5000,0.2,0.9,1.0,3,1.0,0.0,0.9990225,1.0,0.0,1.0,1
coop_majority_with_allc,14,5000,0.2,0.9,1.0,3,0.92011375,0.05024,0.94709125,1.0,0.0,1.0,1
coop_majority_with_allc,15,5000,0.2,0.9,1.0,3,0.5212970833333334,0.38536125,0.57845125,0.9916666666666667,0.005,0.995,1
coop_majority_with_allc,16,5000,0.2,0.9,1.0,3,0.5559316666666667,0.3533225,0.61593625,1.0,0.0,1.0,1
coop_majority_with_allc,17,5000,0.2,0.9,1.0,3,0.99952125,0.000275,0.99972,1.0,0.0,1.0,1
coop_majority_with_allc,18,5000,0.2,0.9,1.0,3,0.5720583333333333,0.34511125,0.6359075,0.99,0.005,0.995,1
coop_majority_with_allc,19,5000,0.2,0.9,1.0,3,0.9976604166666667,0.00137375,0.97894125,1.0,0.0,1.0,1
coop_majority_with_allc,20,5000,0.2,0.9,1.0,3,0.9935270833333333,0.0035875,0.9964125,1.0,0.0,1.0,1
coop_majority_with_allc,21,5000,0.2,0.9,1.0,3,0.8778483333333333,0.078945,0.89711125,1.0,0.0,1.0,1
coop_majority_with_allc,22,5000,0.2,0.9,1.0,3,0.99073,0.00543,0.991595,1.0,0.0,1.0,1
coop_majority_with_allc,23,5000,0.2,0.9,1.0,3,0.9999345833333333,3.5000000000000004e-05,0.86460875,1.0,0.0,0.86,1
coop_majority_with_allc,24,5000,0.2,0.9,1.0,3,0.9993691666666666,0.00035,0.9915725,1.0,0.0,1.0,1
coop_majority_with_allc,25,5000,0.2,0.9,1.0,3,0.9815404166666667,0.011255,0.98416875,1.0,0.0,1.0,1
coop_majority_with_allc,26,5000,0.2,0.9,1.0,3,0.9952979166666667,0.0027325,0.9972675,1.0,0.0,1.0,1
coop_majority_with_allc,27,5000,0.2,0.9,1.0,3,0.996885,0.00182,0.9947375,1.0,0.0,1.0,1
coop_majority_with_allc,28,5000,0.2,0.9,1.0,3,1.0,0.0,0.99502125,1.0,0.0,1.0,1
coop_majority_with_allc,29,5000,0.2,0.9,1.0,3,0.033341666666666665,0.94248875,0.0449875,0.0,1.0,0.0,0
