scenario,seed,success,final_mean_cooperation_rate,final_reciprocal_strategy_frequency,final_ALLD_frequency,final_ALLC_frequency,final_TFT_frequency,final_GTFT_frequency,final_WSLS_frequency
default_mixed_start,0,0,0.005,0.005,0.995,0.0,0.0,0.0,0.005
default_mixed_start,1,0,0.013333333333333334,0.005,0.995,0.0,0.0,0.0,0.005
default_mixed_start,2,0,0.006666666666666667,0.005,0.995,0.0,0.0,0.0,0.005
default_mixed_start,3,0,0.0016666666666666668,0.005,0.99,0.005,0.005,0.0,0.0
default_mixed_start,4,0,0.011666666666666667,0.005,0.995,0.0,0.0,0.0,0.005
small_reciprocal_foothold_start,0,0,0.013333333333333334,0.01,0.985,0.005,0.0,0.01,0.0
small_reciprocal_foothold_start,1,0,0.0,0.02,0.98,0.0,0.005,0.01,0.005
small_reciprocal_foothold_start,2,0,0.02,0.015,0.985,0.0,0.005,0.0,0.01
small_reciprocal_foothold_start,3,0,0.0,0.005,0.995,0.0,0.0,0.0,0.005
small_reciprocal_foothold_start,4,0,0.006666666666666667,0.01,0.99,0.0,0.005,0.0,0.005
no_memory_ablation,0,0,0.015,0.015,0.985,0.0,0.005,0.005,0.005
no_memory_ablation,1,0,0.005,0.0,1.0,0.0,0.0,0.0,0.0
no_memory_ablation,2,0,0.035,0.02,0.975,0.005,0.005,0.005,0.01
no_memory_ablation,3,0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
no_memory_ablation,4,0,0.015,0.01,0.99,0.0,0.01,0.0,0.0
one_round_ablation,0,0,0.015,0.015,0.985,0.0,0.005,0.005,0.005
one_round_ablation,1,0,0.005,0.0,1.0,0.0,0.0,0.0,0.0
one_round_ablation,2,0,0.035,0.02,0.975,0.005,0.005,0.005,0.01
one_round_ablation,3,0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
one_round_ablation,4,0,0.015,0.01,0.99,0.0,0.01,0.0,0.0
