scenario,seed,success,final_mean_trait,final_std_trait,final_identity_count
maintenance_common_start,0,1,0.970204242827715,0.037769551872941745,2
maintenance_common_start,1,1,0.969292594170796,0.04699241021471872,1
maintenance_common_start,2,1,0.9667996697382536,0.046289828859529425,1
maintenance_common_start,3,1,0.8897969259737191,0.08245221145905589,1
maintenance_common_start,4,1,0.954772876459628,0.0399469758930908,1
spread_from_rare,0,0,0.43431942747225627,0.06519717827920454,1
spread_from_rare,1,1,0.7433153767034809,0.07839018703739611,1
spread_from_rare,2,0,0.46191265443212437,0.07609101054132868,1
spread_from_rare,3,0,0.49627869960671994,0.09421820411900354,1
spread_from_rare,4,1,0.6049696236771039,0.05480632052707338,1
no_group_selection_ablation,0,1,0.9234316186162752,0.07644783944312283,2
no_group_selection_ablation,1,1,0.8510625287513115,0.08799477995470445,2
no_group_selection_ablation,2,1,0.9121226681093219,0.07707499420483878,1
no_group_selection_ablation,3,1,0.9339904515417525,0.059662802897688896,3
no_group_selection_ablation,4,1,0.9584745356363469,0.04638280174316446,2
weak_group_selection,0,0,0.5656133214994645,0.09265680404883524,1
weak_group_selection,1,0,0.3568385758789098,0.0839793619396719,1
weak_group_selection,2,0,0.3272423427634895,0.07875676495142066,1
weak_group_selection,3,0,0.41961739510069246,0.0958927786558729,1
weak_group_selection,4,1,0.7051528241667785,0.14880915742228099,1
