scenario,seed,success,final_mean_trait,final_std_trait,final_identity_count
maintenance_common_start,0,1,0.9962302914287923,0.01252571891955955,4
maintenance_common_start,1,1,0.997940374760752,0.009646459099087927,2
maintenance_common_start,2,1,0.9971714167272255,0.01102376274641604,2
maintenance_common_start,3,1,0.9977281091257287,0.008278996443733557,2
maintenance_common_start,4,1,0.9972714504000469,0.009369523809394051,2
spread_from_rare,0,1,0.9962302914287923,0.01252571891955955,1
spread_from_rare,1,1,0.997940374760752,0.009646459099087927,1
spread_from_rare,2,1,0.9971714167272255,0.01102376274641604,1
spread_from_rare,3,1,0.9977281091257287,0.008278996443733557,1
spread_from_rare,4,1,0.9972714504000469,0.009369523809394051,1
no_reputation_routing_ablation,0,1,0.9234316186162752,0.07644783944312283,2
no_reputation_routing_ablation,1,1,0.8510625287513115,0.08799477995470445,2
no_reputation_routing_ablation,2,1,0.9121226681093219,0.07707499420483878,1
no_reputation_routing_ablation,3,1,0.9339904515417525,0.059662802897688896,3
no_reputation_routing_ablation,4,1,0.9584745356363469,0.04638280174316446,2
majority_cooperative_start,0,1,0.9962302914287923,0.01252571891955955,1
majority_cooperative_start,1,1,0.997940374760752,0.009646459099087927,1
majority_cooperative_start,2,1,0.9971714167272255,0.01102376274641604,1
majority_cooperative_start,3,1,0.9977281091257287,0.008278996443733557,1
majority_cooperative_start,4,1,0.9972714504000469,0.009369523809394051,1
