scenario,seed,success,final_mean_trait,final_std_trait,final_mean_reputation
maintenance_common_start,0,1,0.9976064731409872,0.00877748957532471,0.9981845164997516
maintenance_common_start,1,1,0.998087623158654,0.007902379129104605,0.9982941676228151
maintenance_common_start,2,1,0.9976727897741879,0.008049374700239021,0.9983033116393772
maintenance_common_start,3,1,0.9980680752161325,0.007731500518115432,0.9984908711654892
maintenance_common_start,4,1,0.9963654640793435,0.011989857091765576,0.9974681278706578
spread_from_rare,0,1,0.9966725775298438,0.010455814285712017,0.9973169753518383
spread_from_rare,1,1,0.9980202953789228,0.007988384522602343,0.998369725913642
spread_from_rare,2,1,0.9982548256704757,0.007885244404953794,0.998875135850489
spread_from_rare,3,1,0.9982685683465032,0.0081297405901377,0.9985988276231045
spread_from_rare,4,1,0.9950832050770869,0.013585735077187234,0.9964206761998388
no_reputation_routing_ablation,0,0,0.004294430446181445,0.014120186354479345,0.002689666771645974
no_reputation_routing_ablation,1,0,0.006217430565972827,0.01139586989412852,0.00571340210228107
no_reputation_routing_ablation,2,0,0.006850036741051433,0.01830359279371301,0.005628345878407248
no_reputation_routing_ablation,3,0,0.005137120070546057,0.012777029926233315,0.004085304314636695
no_reputation_routing_ablation,4,0,0.003006092785140603,0.009241462096318947,0.002755580724850587
majority_cooperative_start,0,1,0.997527782287672,0.00847778794632567,0.9980169616109259
majority_cooperative_start,1,1,0.9966283775122853,0.011698205607162976,0.996993380748041
majority_cooperative_start,2,1,0.9974853531839741,0.011269956965437984,0.9981244271081781
majority_cooperative_start,3,1,0.9965813221115403,0.013107195140905177,0.9970158980129381
majority_cooperative_start,4,1,0.996596910158967,0.010285989524878086,0.9977718057514952
