scenario,seed,success,final_mean_trait,final_std_trait,final_mean_reputation
maintenance_common_start,0,1,0.9088175952232876,0.06666670391751721,0.4385616074403339
maintenance_common_start,1,1,0.7566633469559071,0.05171841921525882,0.497259387278904
maintenance_common_start,2,1,0.897851595705786,0.06291474623457724,0.45645206626866325
maintenance_common_start,3,1,0.973414900913134,0.04383405085464598,0.4733345496657118
maintenance_common_start,4,1,0.8284955588606391,0.0873604147615084,0.4716483613206047
spread_from_rare_high_q,0,0,0.42223580917228354,0.12825165829391358,0.35
spread_from_rare_high_q,1,0,0.2850825749173664,0.051718419215258826,0.35
spread_from_rare_high_q,2,0,0.14820168341056658,0.06326435431931964,0.35
spread_from_rare_high_q,3,0,0.37407851178579676,0.12738384457990043,0.35
spread_from_rare_high_q,4,0,0.152277087539184,0.08465255457889444,0.35
spread_from_rare_low_q,0,0,0.11818528885774982,0.1044307956750851,0.3699499999999999
spread_from_rare_low_q,1,0,0.025420747412471023,0.034772230321552744,0.35
spread_from_rare_low_q,2,0,0.14820168341056658,0.06326435431931964,0.35
spread_from_rare_low_q,3,0,0.5628629989830687,0.13470491280024546,0.3854400514999999
spread_from_rare_low_q,4,0,0.152277087539184,0.08465255457889444,0.35
no_reputation_gating_ablation,0,1,0.831315111978277,0.006507809802259632,0.7335616258081474
no_reputation_gating_ablation,1,1,0.7992491891321839,0.006579639489104513,0.8526601534339389
no_reputation_gating_ablation,2,1,0.6709275437911043,0.005417598224955737,0.506692657797003
no_reputation_gating_ablation,3,1,0.9133012258217437,0.004682892797985599,0.8485499973562562
no_reputation_gating_ablation,4,1,0.7525380994738687,0.0054516382321823775,0.5957197977432447
