kin_bias_ratio,benefit_cost_ratio,n_replicates,mean_final_trait,std_final_trait_across_replicates,min_final_trait_across_replicates,max_final_trait_across_replicates
1.0,3.5,3,0.014256985878341464,0.002820332246731511,0.01100872148550437,0.017885611726184334
1.0,4.0,3,0.0212887987304724,0.001503262553109626,0.020205526449795206,0.023414602895298873
1.0,4.25,3,0.02396011447042919,0.006289492311310393,0.01602907357649118,0.031412827635769386
1.0,4.5,3,0.059982855682999166,0.044735078642373485,0.021923804446519642,0.12277849097462983
1.0,4.75,3,0.4143956544319159,0.24813099728692053,0.09779570631387104,0.7037560815675287
1.0,5.0,3,0.4761205019608676,0.23988216695236386,0.13832423656884948,0.672137693417214
1.0,5.25,3,0.7803120786697564,0.08249883818841607,0.6727008887929412,0.8731556207062083
1.0,5.5,3,0.765285857840094,0.12483674397999416,0.6340787133029462,0.9331871959107415
1.0,5.75,3,0.9633190322647754,0.005376440526561085,0.9570129048204681,0.9701509187056243
1.0,6.0,3,0.9595221629578773,0.005422727039400243,0.9550742783314239,0.9671563912689126
2.0,3.5,3,0.013882855887066954,0.0024507022752617864,0.011207378272646042,0.01712854571933266
2.0,4.0,3,0.02019495083139966,0.007338783961403676,0.012396606527493796,0.030025058376403
2.0,4.25,3,0.019461991297784878,0.005921819742041894,0.013661214368889747,0.02759355208320928
2.0,4.5,3,0.2556189539906316,0.31951443559355497,0.028601482481402145,0.7074788572490236
2.0,4.75,3,0.6348763581387109,0.16443627973909633,0.47399621676334686,0.8607369233412091
2.0,5.0,3,0.6707508327014406,0.12062895878133809,0.5085563219090307,0.797638087514688
2.0,5.25,3,0.7860761924432599,0.031216735619947894,0.7488829383923608,0.8252695003658235
2.0,5.5,3,0.9575758237838894,0.011242024772423495,0.9418615177293115,0.9675234601029001
2.0,5.75,3,0.9728374607544508,0.010627860078065852,0.9599326092421054,0.9859626460853165
2.0,6.0,3,0.9750890372845036,0.0036917471382531125,0.9718190145325241,0.9802487768486452
4.0,3.5,3,0.08221412350187536,0.10061531133355822,0.010127781463744065,0.22450149803715375
4.0,4.0,3,0.01698843705810715,0.0017705964995262055,0.015010893903988002,0.01930743803320266
4.0,4.25,3,0.3510180624065784,0.4301457275837642,0.0335264688681323,0.9591382425825132
4.0,4.5,3,0.6056469961110306,0.1197428292693926,0.5021190108332665,0.7734669448245737
4.0,4.75,3,0.5779797313332735,0.07756045697982912,0.4794281834197434,0.668958395277008
4.0,5.0,3,0.8135645215937202,0.11971671378091259,0.6495602301455875,0.9319683379895893
4.0,5.25,3,0.93352950694086,0.012868745988570317,0.9159371424511161,0.9463615866971308
4.0,5.5,3,0.9606390909405582,0.005112684603491497,0.9535394126281788,0.9653743589970684
4.0,5.75,3,0.9604175694109895,0.012889796426888254,0.9441004590444648,0.9756141790026037
4.0,6.0,3,0.9789890114878824,0.007183028979874392,0.9694380848520561,0.9867609240855882
8.0,3.5,3,0.2824164390989764,0.37788802963190093,0.013659411940661979,0.8168278134200849
8.0,4.0,3,0.6429548708451115,0.4423813689945994,0.017771939829212022,0.9758352625218047
8.0,4.25,3,0.8984929412295579,0.08822076430477176,0.7757244022989944,0.9791195927827769
8.0,4.5,3,0.666442136883406,0.10271405994996059,0.5920372340270826,0.8116871724638915
8.0,4.75,3,0.6856097121739189,0.3103559089512416,0.25726530187909674,0.9826793537009484
8.0,5.0,3,0.8533720835284346,0.06287421191967865,0.764469819364715,0.8992516261619742
8.0,5.25,3,0.9498333046888011,0.009168358838286624,0.9382237393598669,0.9606382573840061
8.0,5.5,3,0.9597259832963686,0.01623953473695482,0.9440463642817392,0.9820983732137893
8.0,5.75,3,0.9720529515177664,0.003837359429286538,0.9669594948306651,0.9762215662065241
8.0,6.0,3,0.9732655306245134,0.002090883936159146,0.9712051749288142,0.9761325248097066
16.0,3.5,3,0.6278173743805923,0.43273862914968236,0.016333138655497917,0.9549920336764932
16.0,4.0,3,0.9732699114044947,0.0014755283347237004,0.9717854789452302,0.9752822146410954
16.0,4.25,3,0.6645475043846447,0.43032570667220843,0.05597592088865909,0.969722990065866
16.0,4.5,3,0.41811303352557855,0.05388676179195538,0.3458817757720536,0.475268118125869
16.0,4.75,3,0.5855900702736175,0.19540981577453317,0.38535566133185684,0.850653115123585
16.0,5.0,3,0.9573859637308056,0.007638863911990044,0.9468657529030943,0.9647726240826384
16.0,5.25,3,0.94531009805171,0.02335162520237066,0.9128190264562106,0.9666737682087834
16.0,5.5,3,0.940913582725312,0.012460115397543058,0.9278751862372014,0.9576983484814074
16.0,5.75,3,0.9628937261806735,0.00047396398105446487,0.9623142735762451,0.9634752380075824
16.0,6.0,3,0.9627103765386468,0.008139307718097805,0.9512559994638694,0.9694226689113956
