scenario,seed,success,final_mean_trait,final_std_trait,final_identity_count
maintenance_common_start,0,1,0.9811539081973959,0.02865682277825952,9
maintenance_common_start,1,1,0.9851160593000287,0.02997027268629104,6
maintenance_common_start,2,1,0.9868073746706436,0.02287542084012093,9
maintenance_common_start,3,1,0.9812881649877576,0.025906139498790007,9
maintenance_common_start,4,1,0.9833590728034179,0.029788248962687936,6
spread_from_rare_kin_bias,0,1,0.8545615738146979,0.08613479217489484,1
spread_from_rare_kin_bias,1,1,0.9237463168927343,0.07039390372259614,1
spread_from_rare_kin_bias,2,1,0.6914820683759452,0.045338479837426386,1
spread_from_rare_kin_bias,3,1,0.9754090171556405,0.03212674575971387,2
spread_from_rare_kin_bias,4,1,0.9140492592326874,0.06552873919542829,1
no_kin_bias_ablation,0,0,0.43254877940373865,0.08767213509130405,1
no_kin_bias_ablation,1,0,0.46253997071178965,0.11206455631039831,1
no_kin_bias_ablation,2,0,0.36651921427139084,0.09308319264032304,1
no_kin_bias_ablation,3,0,0.4421879827062759,0.07642622707600971,1
no_kin_bias_ablation,4,1,0.7383721515715951,0.111981441630762,1
below_hamiltons_rule,0,0,0.009719030161218292,0.020360573454314336,1
below_hamiltons_rule,1,0,0.007833739182214234,0.017335864334654665,1
below_hamiltons_rule,2,0,0.008360456505078292,0.01930986902416645,1
below_hamiltons_rule,3,0,0.007549709927054802,0.017850243267942274,1
below_hamiltons_rule,4,0,0.0046523406599755,0.015069879192731188,1
