scenario,seed,success,final_mean_trait,final_std_trait,final_identity_count
spread_from_rare_kin_bias,0,0,0.003323361679507172,0.010383134449657608,1
spread_from_rare_kin_bias,1,0,0.005635734718855712,0.012650021818080337,1
spread_from_rare_kin_bias,2,0,0.004770251400213685,0.011322776638314512,1
spread_from_rare_kin_bias,3,0,0.006532897105023059,0.012477828541138188,1
spread_from_rare_kin_bias,4,0,0.0073864467722297945,0.016872015654024335,1
spread_from_rare_no_kin_bias,0,0,0.003729644437110857,0.012214087298593131,2
spread_from_rare_no_kin_bias,1,0,0.005079711230969001,0.014158140381387758,1
spread_from_rare_no_kin_bias,2,0,0.00667293166155109,0.012891511437528449,1
spread_from_rare_no_kin_bias,3,0,0.0033119366148655466,0.010843262039800771,1
spread_from_rare_no_kin_bias,4,0,0.008461229664061579,0.016496124093147938,2
maintenance_common_start,0,0,0.0032945268293130205,0.009859916055867179,1
maintenance_common_start,1,0,0.003955067530480206,0.010199419753160521,1
maintenance_common_start,2,0,0.004521413653627138,0.013894817676342616,1
maintenance_common_start,3,0,0.004478189365959355,0.011416770539851283,1
maintenance_common_start,4,0,0.005489873543121964,0.01226595865238459,1
