scenario,category,seed,outcome,survived,extinction_step,final_pred_count,final_prey_count,tail_mean_trait,final_mean_trait,goal_hit
active_baseline,baseline,0,survived,1,,146,126,0.37420285176480955,0.36723967789805656,0
active_baseline,baseline,1,prey_extinction,0,7662,90,0,0.3794427555678503,0.3577227545550165,0
active_baseline,baseline,2,prey_extinction,0,8248,129,0,0.4006850933891288,0.40572922296883174,0
active_baseline,baseline,3,survived,1,,185,231,0.3857404926547109,0.4010488455505243,0
active_baseline,baseline,4,survived,1,,239,210,0.4231216226477116,0.45198273861733035,0
high_trait_candidate,reference_high_trait,0,prey_extinction,0,6517,167,0,0.5281697965712197,0.5487743485168195,0
high_trait_candidate,reference_high_trait,1,prey_extinction,0,5760,144,0,0.5167712719670192,0.559906330402658,0
high_trait_candidate,reference_high_trait,2,prey_extinction,0,9974,150,0,0.6266692451706551,0.6059563349889692,0
high_trait_candidate,reference_high_trait,3,prey_extinction,0,5160,136,0,0.4864125875920169,0.4747990452867146,0
high_trait_candidate,reference_high_trait,4,survived,1,,122,61,0.5667695926806814,0.614533196267318,1
equal_split_counterfactual,payoff_mechanism,0,survived,1,,236,54,0.3776681965918154,0.3893968029160368,0
equal_split_counterfactual,payoff_mechanism,1,prey_extinction,0,9191,125,0,0.27154976595303126,0.2984286763011321,0
equal_split_counterfactual,payoff_mechanism,2,prey_extinction,0,6153,159,0,0.3741264562858512,0.37545500204507193,0
equal_split_counterfactual,payoff_mechanism,3,prey_extinction,0,5947,246,0,0.32043466951580185,0.3289419774726092,0
equal_split_counterfactual,payoff_mechanism,4,prey_extinction,0,7629,150,0,0.3891960980526128,0.4049934423803407,0
threshold_gate_counterfactual,payoff_mechanism,0,predator_extinction,0,37,0,2404,0.027840966774204452,0.0,0
threshold_gate_counterfactual,payoff_mechanism,1,predator_extinction,0,37,0,2404,0.024789968385924236,0.0,0
threshold_gate_counterfactual,payoff_mechanism,2,predator_extinction,0,37,0,2425,0.025803581213752112,0.0,0
threshold_gate_counterfactual,payoff_mechanism,3,predator_extinction,0,37,0,2419,0.024159109988595065,0.0,0
threshold_gate_counterfactual,payoff_mechanism,4,predator_extinction,0,37,0,2370,0.020977729776428866,0.0,0
more_initial_prey_support,ecological_support,0,prey_extinction,0,4963,162,0,0.32354568830432223,0.35968835523625375,0
more_initial_prey_support,ecological_support,1,survived,1,,180,187,0.4798701938712378,0.5121192023029296,0
more_initial_prey_support,ecological_support,2,prey_extinction,0,7492,165,0,0.5562215680581898,0.5941743987129895,0
more_initial_prey_support,ecological_support,3,prey_extinction,0,4453,136,0,0.30850588966192616,0.3195231909775618,0
more_initial_prey_support,ecological_support,4,prey_extinction,0,4735,172,0,0.3888186034632473,0.44101294915486094,0
more_grass_support,ecological_support,0,prey_extinction,0,6746,162,0,0.37444843200538525,0.41442015497869866,0
more_grass_support,ecological_support,1,prey_extinction,0,1573,191,0,0.1527711761313693,0.2507561564653017,0
more_grass_support,ecological_support,2,prey_extinction,0,6167,225,0,0.46249491520618025,0.4771214866925344,0
more_grass_support,ecological_support,3,prey_extinction,0,7105,211,0,0.38955439549893217,0.4678206003809839,0
more_grass_support,ecological_support,4,prey_extinction,0,7427,121,0,0.4326588756002616,0.5002326099953516,0
