scenario,category,seed,outcome,survived,extinction_step,final_pred_count,final_prey_count,tail_mean_trait,final_mean_trait,goal_hit
threshold_synergy_low_start,bootstrap_failure,0,predator_extinction,0,37,0,2360,0.026207494385967603,0.0,0
threshold_synergy_low_start,bootstrap_failure,1,predator_extinction,0,37,0,2119,0.02315656863661753,0.0,0
threshold_synergy_low_start,bootstrap_failure,2,predator_extinction,0,37,0,2268,0.02434060705994845,0.0,0
threshold_synergy_low_start,bootstrap_failure,3,predator_extinction,0,37,0,2258,0.024091815280509295,0.0,0
threshold_synergy_low_start,bootstrap_failure,4,predator_extinction,0,37,0,2216,0.022003407383084306,0.0,0
threshold_synergy_supported_reference,supported_reference,0,survived,1,,200,286,0.7694800735925565,0.8475703775257483,1
threshold_synergy_supported_reference,supported_reference,1,survived,1,,215,230,0.9354645911607405,0.9175808481448053,1
threshold_synergy_supported_reference,supported_reference,2,survived,1,,275,207,0.9267216773418483,0.9390699642087723,1
threshold_synergy_supported_reference,supported_reference,3,prey_extinction,0,472,249,0,0.12659837419153658,0.16776414526278,0
threshold_synergy_supported_reference,supported_reference,4,prey_extinction,0,467,271,0,0.13996045386553269,0.17872968499087283,0
probabilistic_supported_counterfactual,mechanism_counterfactual,0,prey_extinction,0,7538,81,0,0.6249342806764163,0.6419544182236187,0
probabilistic_supported_counterfactual,mechanism_counterfactual,1,prey_extinction,0,4406,130,0,0.46666958638190686,0.5135841594448843,0
probabilistic_supported_counterfactual,mechanism_counterfactual,2,prey_extinction,0,9772,118,0,0.5460849103146411,0.619336236713332,0
probabilistic_supported_counterfactual,mechanism_counterfactual,3,prey_extinction,0,8215,195,0,0.4938133951028334,0.5655857725850425,0
probabilistic_supported_counterfactual,mechanism_counterfactual,4,prey_extinction,0,3539,138,0,0.3008823577138221,0.38102496135537306,0
threshold_synergy_supported_equal_split,payoff_counterfactual,0,prey_extinction,0,472,233,0,0.12505109970473874,0.13808524257027982,0
threshold_synergy_supported_equal_split,payoff_counterfactual,1,prey_extinction,0,484,188,0,0.13452674299940978,0.16050619756350168,0
threshold_synergy_supported_equal_split,payoff_counterfactual,2,prey_extinction,0,542,180,0,0.15479206671360574,0.19884186540324247,0
threshold_synergy_supported_equal_split,payoff_counterfactual,3,predator_extinction,0,80,0,5730,0.08440519113446537,0.0,0
threshold_synergy_supported_equal_split,payoff_counterfactual,4,predator_extinction,0,91,0,5459,0.09287567373332976,0.0,0
threshold_synergy_supported_strict_quorum,mechanism_counterfactual,0,predator_extinction,0,77,0,5722,0.09481652740091966,0.0,0
threshold_synergy_supported_strict_quorum,mechanism_counterfactual,1,predator_extinction,0,63,0,4938,0.08440163006374357,0.0,0
threshold_synergy_supported_strict_quorum,mechanism_counterfactual,2,predator_extinction,0,56,0,4344,0.08487226482010653,0.0,0
threshold_synergy_supported_strict_quorum,mechanism_counterfactual,3,predator_extinction,0,55,0,4336,0.07522418663040117,0.0,0
threshold_synergy_supported_strict_quorum,mechanism_counterfactual,4,predator_extinction,0,57,0,4463,0.07285837993690877,0.0,0
