scenario,row_group,column_group,seed,outcome,survived,extinction_step,final_pred_count,final_prey_count,tail_mean_trait,final_mean_trait,goal_hit
low_start_probabilistic,de_novo_low_start,probabilistic,0,survived,1,,146,126,0.37420285176480955,0.36723967789805656,0
low_start_probabilistic,de_novo_low_start,probabilistic,1,prey_extinction,0,7662,90,0,0.3794427555678503,0.3577227545550165,0
low_start_probabilistic,de_novo_low_start,probabilistic,2,prey_extinction,0,8248,129,0,0.4006850933891288,0.40572922296883174,0
low_start_probabilistic,de_novo_low_start,probabilistic,3,survived,1,,185,231,0.3857404926547109,0.4010488455505243,0
low_start_probabilistic,de_novo_low_start,probabilistic,4,survived,1,,239,210,0.4231216226477116,0.45198273861733035,0
low_start_threshold_synergy,de_novo_low_start,threshold_synergy,0,predator_extinction,0,37,0,2360,0.026207494385967603,0.0,0
low_start_threshold_synergy,de_novo_low_start,threshold_synergy,1,predator_extinction,0,37,0,2119,0.02315656863661753,0.0,0
low_start_threshold_synergy,de_novo_low_start,threshold_synergy,2,predator_extinction,0,37,0,2268,0.02434060705994845,0.0,0
low_start_threshold_synergy,de_novo_low_start,threshold_synergy,3,predator_extinction,0,37,0,2258,0.024091815280509295,0.0,0
low_start_threshold_synergy,de_novo_low_start,threshold_synergy,4,predator_extinction,0,37,0,2216,0.022003407383084306,0.0,0
supported_start_probabilistic,bootstrap_supported_start,probabilistic,0,prey_extinction,0,7538,81,0,0.6249342806764163,0.6419544182236187,0
supported_start_probabilistic,bootstrap_supported_start,probabilistic,1,prey_extinction,0,4406,130,0,0.46666958638190686,0.5135841594448843,0
supported_start_probabilistic,bootstrap_supported_start,probabilistic,2,prey_extinction,0,9772,118,0,0.5460849103146411,0.619336236713332,0
supported_start_probabilistic,bootstrap_supported_start,probabilistic,3,prey_extinction,0,8215,195,0,0.4938133951028334,0.5655857725850425,0
supported_start_probabilistic,bootstrap_supported_start,probabilistic,4,prey_extinction,0,3539,138,0,0.3008823577138221,0.38102496135537306,0
supported_start_threshold_synergy,bootstrap_supported_start,threshold_synergy,0,survived,1,,200,286,0.7694800735925565,0.8475703775257483,1
supported_start_threshold_synergy,bootstrap_supported_start,threshold_synergy,1,survived,1,,215,230,0.9354645911607405,0.9175808481448053,1
supported_start_threshold_synergy,bootstrap_supported_start,threshold_synergy,2,survived,1,,275,207,0.9267216773418483,0.9390699642087723,1
supported_start_threshold_synergy,bootstrap_supported_start,threshold_synergy,3,prey_extinction,0,472,249,0,0.12659837419153658,0.16776414526278,0
supported_start_threshold_synergy,bootstrap_supported_start,threshold_synergy,4,prey_extinction,0,467,271,0,0.13996045386553269,0.17872968499087283,0
