PRED_INIT,PREY_INIT,PRED_REPRO_PROB,PREY_REPRO_PROB,P0,BIRTH_THRESH_PRED,METAB_PRED,PRED_ENERGY_INIT,PREY_BIRTH_SPLIT,PREY_MOVE_PROB,success_count,success_rate,prey_extinction_count,pred_extinction_count,mean_final_preds,mean_final_preys,mean_min_preds,mean_min_preys,mean_extinction_step,mean_final_preds_success,mean_final_preys_success,mean_group_hunt_share_success,mean_group_hunt_effort_success
65,575,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,5,0.6250,3,0,113.2500,56.6250,9.6250,7.5000,301.0000,73.0000,90.6000,0.9781,0.8969
60,550,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,110.2500,42.7500,7.2500,5.1250,403.7500,74.0000,85.5000,0.7979,0.8014
60,575,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,4,0.5000,4,0,127.3750,26.5000,9.1250,2.8750,321.5000,79.2500,53.0000,0.9939,0.8786
70,550,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,144.2500,48.5000,9.8750,2.7500,308.2500,85.7500,97.0000,0.8888,0.8401
60,575,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,117.5000,32.0000,7.6250,2.5000,352.0000,61.7500,64.0000,0.9952,0.9175
70,575,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,4,0.5000,4,0,145.0000,101.0000,11.5000,1.6250,314.0000,93.0000,202.0000,0.8420,0.8271
60,575,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,127.0000,27.7500,7.5000,1.3750,305.2500,68.2500,55.5000,0.9957,0.9018
65,575,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,109.5000,64.6250,8.0000,1.2500,347.7500,60.5000,129.2500,0.9931,0.9065
65,575,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,174.3750,56.5000,9.6250,12.3750,277.0000,76.0000,150.6667,0.9153,0.8663
70,550,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,147.2500,146.8750,12.6250,6.3750,315.8000,126.3333,391.6667,0.9964,0.8790
65,575,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,135.7500,25.2500,8.2500,5.3750,326.6000,74.0000,67.3333,0.9954,0.8752
65,550,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,157.5000,53.6250,11.2500,2.8750,315.4000,88.0000,143.0000,0.9129,0.8025
70,550,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,128.1250,28.3750,10.8750,2.5000,317.2000,62.6667,75.6667,0.8133,0.7860
60,550,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,131.8750,84.6250,8.6250,2.0000,341.6000,100.3333,225.6667,0.9011,0.8368
70,550,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,159.1250,58.3750,12.2500,2.0000,304.6000,81.6667,155.6667,0.9787,0.8668
60,575,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,122.2500,33.1250,8.5000,2.0000,332.6000,70.3333,88.3333,0.9272,0.9003
60,550,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,152.1250,35.5000,8.3750,1.8750,314.4000,66.3333,94.6667,0.7525,0.8395
60,550,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,162.5000,31.0000,9.0000,1.8750,333.8000,96.3333,82.6667,0.8742,0.8359
60,575,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,162.7500,60.7500,8.6250,1.7500,292.8000,68.3333,162.0000,0.9071,0.8647
70,550,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,135.6250,41.6250,11.1250,1.6250,340.8000,74.3333,111.0000,0.9695,0.8829
70,550,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,151.1250,45.6250,12.1250,1.3750,282.8000,62.3333,121.6667,0.9859,0.8711
70,550,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,157.3750,36.6250,13.7500,1.1250,277.2000,79.3333,97.6667,0.8100,0.8193
70,575,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,141.2500,33.1250,11.1250,1.1250,300.4000,59.6667,88.3333,0.7377,0.7976
60,550,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,152.6250,51.8750,7.2500,0.6250,328.4000,73.3333,138.3333,0.9954,0.9138
65,550,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,141.0000,37.3750,12.1250,0.6250,311.0000,61.0000,99.6667,0.9581,0.8241
65,575,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,128.2500,61.0000,8.0000,0.5000,341.4000,65.3333,162.6667,0.9875,0.8788
70,575,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,109.5000,30.6250,11.7500,0.5000,374.2000,66.0000,81.6667,0.8380,0.8327
65,550,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,188.2500,18.8750,10.6250,4.6250,288.8333,88.5000,75.5000,0.8254,0.8395
60,550,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,164.1250,96.1250,6.8750,3.5000,359.3333,137.0000,384.5000,0.9000,0.8658
65,550,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,172.5000,9.3750,11.0000,2.6250,303.8333,71.5000,37.5000,0.5340,0.7730
65,575,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,112.2500,20.0000,9.1250,2.3750,379.6667,65.5000,80.0000,0.9945,0.8775
60,550,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,152.2500,10.6250,8.7500,2.0000,327.5000,99.0000,42.5000,1.0000,0.9573
60,575,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,144.3750,12.3750,7.8750,1.8750,351.6667,65.0000,49.5000,0.9953,0.8833
60,575,0.045,0.072,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,174.1250,41.8750,7.7500,1.5000,291.8333,107.5000,167.5000,0.9976,0.9201
60,575,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,152.7500,45.8750,8.0000,1.3750,326.6667,99.5000,183.5000,0.7954,0.8283
70,575,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,130.8750,12.3750,10.2500,1.2500,334.0000,60.0000,49.5000,0.9184,0.8582
70,575,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,214.2500,7.2500,10.5000,1.2500,268.8333,86.0000,29.0000,0.9946,0.8378
70,575,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,163.0000,53.7500,10.3750,1.1250,304.5000,83.5000,215.0000,0.9961,0.8756
70,575,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,160.5000,28.6250,9.7500,1.0000,319.5000,78.5000,114.5000,0.9874,0.8593
60,575,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,174.7500,28.2500,8.0000,1.0000,310.5000,98.5000,113.0000,0.9939,0.8820
65,550,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,218.3750,3.3750,10.3750,1.0000,256.3333,57.0000,13.5000,0.9520,0.9014
70,550,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,161.2500,22.1250,10.7500,0.8750,291.3333,81.5000,88.5000,0.8637,0.8224
65,550,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,177.2500,29.0000,9.0000,0.7500,314.5000,70.0000,116.0000,0.9720,0.8384
