model_variant,benefit_from_altruism,cost_of_altruism,harshness,disturbance_interval,disturbance_fraction,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg,occupied_avg
uniform_culling,0.05,0.3,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0.25,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0,0.96,50,0.25,0.39,0.39,0,1898.8,0,702.2,0.730027
uniform_culling,0,0.35,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0.05,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0.15,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0,0.3,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0,0.1,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0.35,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0,0.2,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0.25,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0,0.05,0.96,50,0.5,0.39,0.39,0,0,601.2,1999.8,0.231142
uniform_culling,0,0.25,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0,0.3,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0.05,0.15,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0.05,0.05,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0,0.2,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0.05,0.3,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0.05,0.1,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0,0.05,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0.2,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0,0.35,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0.05,0.1,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0,0.25,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0.05,0.2,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0.05,0,0.96,50,0.5,0.39,0.39,0,1100.8,0,1500.2,0.423222
uniform_culling,0,0.15,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0,0.15,0.96,50,0.25,0.39,0.39,0,0,1666.2,934.8,0.6406
uniform_culling,0,0,0.96,50,0.25,0.39,0.39,1,823.8,842.4,934.8,0.6406
uniform_culling,0,0.1,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0.05,0.35,0.96,50,0.5,0.39,0.39,0,0,606.8,1994.2,0.233295
uniform_culling,0,0,0.96,50,0.5,0.39,0.39,1,170.6,436.2,1994.2,0.233295
uniform_culling,0.1,0,0.96,50,0.25,0.39,0.39,0,1940,0,661,0.745867
uniform_culling,0.15,0,0.96,50,0.25,0.39,0.39,0,1948.2,0,652.8,0.74902
uniform_culling,0.1,0,0.96,50,0.5,0.39,0.39,0,1257,0,1344,0.483276
uniform_culling,0.15,0,0.96,50,0.5,0.39,0.39,0,1289.8,0,1311.2,0.495886
uniform_culling,0.1,0.25,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.1,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.15,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.05,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.35,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.3,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.15,0.2,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.2,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.15,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.1,0.1,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.1,0.2,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.1,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.15,0.15,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.15,0.05,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.3,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.1,0.25,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.25,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.1,0.05,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.1,0.35,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.15,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.1,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.2,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.3,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.35,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.15,0.3,0.96,50,0.25,0.39,0.39,0,0,1646.4,954.6,0.632987
uniform_culling,0.15,0.05,0.96,50,0.5,0.39,0.39,0.8,162.2,595.4,1843.4,0.291273
uniform_culling,0.15,0.25,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.15,0.35,0.96,50,0.5,0.39,0.39,0,0,613,1988,0.235679
uniform_culling,0.2,0,0.96,50,0.25,0.39,0.39,0,1947,0,654,0.748558
uniform_culling,0.2,0,0.96,50,0.5,0.39,0.39,0,1294.8,0,1306.2,0.497809
uniform_culling,0.25,0,0.96,50,0.25,0.39,0.39,0,1950.4,0,650.6,0.749865
uniform_culling,0.2,0.1,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0,0.96,50,0.5,0.39,0.39,0,1300.2,0,1300.8,0.499885
uniform_culling,0.2,0.15,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.25,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.2,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.05,0.96,50,0.25,0.39,0.39,1,350.4,1407.4,843.2,0.675817
uniform_culling,0.2,0.1,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.3,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.35,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.05,0.96,50,0.5,0.39,0.39,1,824.2,356.8,1420,0.454056
uniform_culling,0.2,0.25,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.15,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.2,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.15,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.2,0.3,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.2,0.35,0.96,50,0.5,0.39,0.39,0,0,602.2,1998.8,0.231526
uniform_culling,0.25,0.2,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0.05,0.96,50,0.25,0.39,0.39,1,1638.2,305.6,657.2,0.747328
uniform_culling,0.25,0.1,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
uniform_culling,0.25,0.25,0.96,50,0.25,0.39,0.39,0,0,1609,992,0.618608
